matricule;date;quantite;fournisseur;typePaiement;note;station
2550;07/07/2023 14:55;150.63;0;1407045629;3;93
2549;07/07/2023 14:49;61.27;0;1407024331;0;28
2532;07/07/2023 13:40;46.26;0;1407026665;4;98
1111;07/07/2023 19:03;95.72;0;1407004713;3;93
2487;07/07/2023 18:07;41.58;0;1407022475;0;113
2394;07/07/2023 17:29;151.13;0;1407020802;3;94
2539;07/07/2023 21:45;24.95;0;1407018026;0;98
1889;07/07/2023 21:29;37.19;0;1407025486;4;96
2602;07/07/2023 21:02;32.08;0;1407004594;0;109
817371;08/07/2023 02:40;59.01;0;1407021295;0;100
230;08/07/2023 09:14;57.93;0;1407018303;3;87
2374;08/07/2023 08:01;30.1;0;1407022474;0;25
2522;09/07/2023 20:29;42.38;0;1407009157;0;109
2529;09/07/2023 08:11;39.6;0;1407008328;0;100
837709;09/07/2023 08:18;50.38;0;1407022917;3;94
817374;08/07/2023 19:15;24.16;0;1407004737;0;90
2394;08/07/2023 16:46;100.76;0;1407020802;3;56
817397;08/07/2023 15:38;19.8;0;1407004720;0;96
2559;08/07/2023 14:49;148.61;0;1407004726;3;94
2478;08/07/2023 14:21;39.6;0;1407054290;0;94
2537;08/07/2023 13:23;33.25;0;1407040611;3;95
932;08/07/2023 11:37;30.1;0;1407022663;0;29
2834;08/07/2023 10:38;13.86;0;1407046036;0;87
2515;10/07/2023 08:50;162.72;0;1407004707;3;94
837710;10/07/2023 12:34;36.73;0;1407058655;4;14
2507;10/07/2023 11:00;39.6;0;1407004592;0;98
2834;10/07/2023 10:58;25.35;0;1407046036;0;122
2532;10/07/2023 06:27;28.57;0;1407026665;4;113
2834;07/07/2023 11:13;18.61;0;1407046036;0;87
1624;10/07/2023 15:15;39.6;0;1407004711;0;94
2550;10/07/2023 14:48;105.79;0;1407045629;3;94
2537;10/07/2023 14:46;30.23;0;1407040611;3;95
929;10/07/2023 14:41;52.9;0;1407004714;3;9
218;10/07/2023 15:46;56.42;0;1407004717;3;100
1139;10/07/2023 15:38;337.53;0;1407023587;3;94
2374;10/07/2023 18:32;33.27;0;1407022474;0;13
2558;08/07/2023 22:00;38.42;0;1407004595;0;102
2532;11/07/2023 06:52;19.5;0;1407026665;4;99
2530;11/07/2023 09:22;31.68;0;1407004596;0;99
2507;11/07/2023 08:17;39.6;0;1407004592;0;98
2558;11/07/2023 07:55;17.03;0;1407004595;0;93
230;11/07/2023 12:54;70.53;0;1407018303;3;84
2544;11/07/2023 15:37;136.02;0;1407040610;3;93
2558;11/07/2023 13:45;19.8;0;1407004595;0;116
2394;11/07/2023 18:30;151.13;0;1407020802;3;94
837708;11/07/2023 20:29;39.6;0;1407062403;0;98
2504;11/07/2023 23:16;26.65;0;1407004598;0;94
2476;12/07/2023 10:28;37.64;0;1407022662;4;94
2550;12/07/2023 09:53;75.57;0;1407045629;3;94
294;12/07/2023 09:01;76.07;0;1407020803;3;87
2515;12/07/2023 13:01;170.78;0;1407004707;3;7
1624;12/07/2023 11:26;51.49;0;1407004711;0;95
2487;12/07/2023 11:25;41.58;0;1407022475;0;89
2834;12/07/2023 11:12;31.68;0;1407046036;0;122
2537;12/07/2023 11:05;46.85;0;1407040611;3;98
1139;12/07/2023 15:11;337.53;0;1407023587;3;94
2530;12/07/2023 15:04;29.7;0;1407004596;0;42
1889;12/07/2023 14:42;31.75;0;1407025486;4;94
817356;12/07/2023 17:18;27.72;0;1407004738;0;93
929;12/07/2023 17:05;70.53;0;1407004714;3;122
1234;12/07/2023 16:54;120.91;0;1407004727;3;59
837710;13/07/2023 08:46;31.75;0;1407058655;4;54
2602;12/07/2023 19:41;37.62;0;1407004594;0;87
932;13/07/2023 13:22;29.7;0;1407022663;0;47
2539;13/07/2023 16:24;26.93;0;1407018026;0;89
2559;13/07/2023 15:31;125.94;0;1407004726;3;94
2478;13/07/2023 19:05;41.19;0;1407054290;0;89
230;13/07/2023 17:47;79.09;0;1407018303;3;29
2394;13/07/2023 17:30;100.76;0;1407020802;3;94
929;13/07/2023 16:22;73.05;0;1407004714;3;122
2549;13/07/2023 00:14;57.03;0;1407024331;0;113
2550;14/07/2023 10:02;122.42;0;1407045629;3;94
2530;14/07/2023 09:33;35.64;0;1407004596;0;99
2558;14/07/2023 12:11;37.62;0;1407004595;0;102
2374;14/07/2023 11:23;31.09;0;1407022474;0;84
2537;14/07/2023 15:35;29.57;0;1407040611;3;95
1111;14/07/2023 19:30;102.27;0;1407004713;3;94
2394;14/07/2023 17:33;75.57;0;1407020802;3;93
2549;14/07/2023 20:33;19.8;0;1407024331;0;98
2522;14/07/2023 20:28;51.49;0;1407009157;0;99
817397;14/07/2023 19:58;23.76;0;1407004720;0;96
2487;14/07/2023 23:12;32.48;0;1407022475;0;113
837708;15/07/2023 22:17;39.6;0;1407062403;0;96
2602;15/07/2023 20:35;13.86;0;1407004594;0;109
2478;15/07/2023 19:58;19.8;0;1407054290;0;104
817371;15/07/2023 19:56;56.63;0;1407021295;0;100
932;15/07/2023 19:38;25.74;0;1407022663;0;78
1624;15/07/2023 15:16;39.6;0;1407004711;0;94
2504;15/07/2023 13:41;26.14;0;1407004598;0;94
2834;15/07/2023 13:33;31.68;0;1407046036;0;50
2549;15/07/2023 13:05;18.22;0;1407024331;0;99
